Primary City,Account Number,CUSTOMER_TYPE,Data Subscribed (GB),Data Bonus (GB),Bonus Used,YM
Onitsha,1000001,Retail,125.66,56.69,0,1-Aug-19
Onitsha,1000001,Retail,250.29,119.6,0,1-Oct-19
Onitsha,1000001,Retail,323.42,100.72,100.72,1-Jul-19
Onitsha,1000001,Retail,361.53,270.66,270.66,1-Nov-19
Onitsha,1000001,Retail,364.62,110.3,110.3,1-Dec-19
Onitsha,1000001,Retail,162.74,67,0,1-Sep-19
Lagos,1000002,Retail,346.08,112.58,0,1-Jul-19
Lagos,1000002,Retail,370.8,153.48,102.45,1-Oct-19
Lagos,1000002,Retail,414.06,8.95,6.62,1-Aug-19
Lagos,1000002,Retail,485.13,221.88,221.88,1-Nov-19
Lagos,1000002,Retail,486.16,67.19,67.19,1-Dec-19
Lagos,1000002,Retail,271.92,1.06,1.06,1-Sep-19
Lagos,1000003,Retail,399.64,175.6,175.6,1-Jul-19
Lagos,1000003,Retail,461.44,138.12,87.51,1-Oct-19
Lagos,1000003,Retail,486.16,224.13,224.13,1-Nov-19
Lagos,1000003,Retail,486.16,53.79,0,1-Dec-19
Lagos,1000003,Retail,491.31,182.01,0,1-Aug-19
Lagos,1000003,Retail,325.48,60.73,45.03,1-Sep-19
Abuja,1000004,Retail,0,0,0,1-Nov-19
Abuja,1000004,Retail,0,0,0,1-Dec-19
Abuja,1000004,Retail,399.64,71.4,71.4,1-Jul-19
Abuja,1000004,Retail,461.44,368.28,368.28,1-Oct-19
Abuja,1000004,Retail,491.31,13.17,8.84,1-Aug-19
Abuja,1000004,Retail,325.48,11.66,11.66,1-Sep-19
Lagos,1000005,Retail,209.09,100.72,100.72,1-Aug-19
Lagos,1000005,Retail,210.12,6.03,6.03,1-Dec-19
Lagos,1000005,Retail,223.51,6.73,0,1-Jul-19
Lagos,1000005,Retail,267.8,118.44,118.44,1-Oct-19
Lagos,1000005,Retail,362.56,179.86,179.86,1-Nov-19
Lagos,1000005,Retail,206,32.13,32.13,1-Sep-19
Abuja,1000006,Retail,133.9,64.38,64.38,1-Aug-19
Abuja,1000006,Retail,267.8,122.29,43.21,1-Oct-19
Abuja,1000006,Retail,319.3,34.21,0,1-Jul-19
Abuja,1000006,Retail,362.56,61.08,10.9,1-Nov-19
Abuja,1000006,Retail,365.65,23.17,23.17,1-Dec-19
Abuja,1000006,Retail,173.04,102.1,102.1,1-Sep-19
Lagos,1000007,Retail,207.03,98.43,0.34,1-Aug-19
Lagos,1000007,Retail,218.36,37.24,0,1-Jul-19
Lagos,1000007,Retail,262.65,4.11,0,1-Oct-19
Lagos,1000007,Retail,359.47,31.17,5.33,1-Dec-19
Lagos,1000007,Retail,362.56,95.41,95.41,1-Nov-19
Lagos,1000007,Retail,202.91,93.01,93.01,1-Sep-19
Abuja,1000008,Retail,231.75,28.56,1.36,1-Aug-19
Abuja,1000008,Retail,234.84,105.6,105.6,1-Jul-19
Abuja,1000008,Retail,296.64,181.16,181.16,1-Oct-19
Abuja,1000008,Retail,361.53,75.24,75.24,1-Dec-19
Abuja,1000008,Retail,363.59,247.96,0,1-Nov-19
Abuja,1000008,Retail,228.66,105.53,0,1-Sep-19
Port Harcourt,1000009,Retail,0,0,0,1-Jul-19
Port Harcourt,1000009,Retail,0,0,0,1-Aug-19
Port Harcourt,1000009,Retail,0,0,0,1-Oct-19
Port Harcourt,1000009,Retail,0,0,0,1-Nov-19
Port Harcourt,1000009,Retail,0,0,0,1-Dec-19
Port Harcourt,1000009,Retail,0,0,0,1-Sep-19
Port Harcourt,1000010,Retail,220.42,207.81,0,1-Aug-19
Port Harcourt,1000010,Retail,226.6,53.42,0,1-Jul-19
Port Harcourt,1000010,Retail,282.22,54.21,54.21,1-Oct-19
Port Harcourt,1000010,Retail,360.5,69.2,69.2,1-Dec-19
Port Harcourt,1000010,Retail,363.59,6.78,0,1-Nov-19
Port Harcourt,1000010,Retail,217.33,35.99,35.99,1-Sep-19
Onitsha,1000011,Retail,460.41,143.19,143.19,1-Dec-19
Onitsha,1000011,Retail,561.35,408.1,408.1,1-Nov-19
Onitsha,1000011,Retail,687.01,130.25,130.25,1-Jul-19
Onitsha,1000011,Retail,689.07,109.32,109.32,1-Aug-19
Onitsha,1000011,Retail,730.27,168.59,0,1-Oct-19
Onitsha,1000011,Retail,569.59,97.42,97.42,1-Sep-19
Lagos,1000012,Retail,231.75,2.68,0.29,1-Aug-19
Lagos,1000012,Retail,234.84,107.09,0,1-Jul-19
Lagos,1000012,Retail,296.64,254.94,0,1-Oct-19
Lagos,1000012,Retail,361.53,150.72,18.5,1-Dec-19
Lagos,1000012,Retail,363.59,161.5,161.5,1-Nov-19
Lagos,1000012,Retail,228.66,60.9,60.9,1-Sep-19
Port Harcourt,1000013,Retail,207.03,18.35,0,1-Aug-19
Port Harcourt,1000013,Retail,218.36,72.2,72.2,1-Jul-19
Port Harcourt,1000013,Retail,262.65,123.32,88.62,1-Oct-19
Port Harcourt,1000013,Retail,359.47,177.91,177.91,1-Dec-19
Port Harcourt,1000013,Retail,362.56,61.74,15.77,1-Nov-19
Port Harcourt,1000013,Retail,202.91,65.99,65.99,1-Sep-19
Abuja,1000014,Retail,0,0,0,1-Jul-19
Abuja,1000014,Retail,0,0,0,1-Aug-19
Abuja,1000014,Retail,0,0,0,1-Oct-19
Abuja,1000014,Retail,0,0,0,1-Nov-19
Abuja,1000014,Retail,0,0,0,1-Dec-19
Abuja,1000014,Retail,0,0,0,1-Sep-19
Port Harcourt,1000015,Retail,361.53,42.42,0,1-Dec-19
Port Harcourt,1000015,Retail,364.62,36.07,25.28,1-Nov-19
Port Harcourt,1000015,Retail,429.51,63.04,63.04,1-Jul-19
Port Harcourt,1000015,Retail,430.54,195.21,73.54,1-Aug-19
Port Harcourt,1000015,Retail,456.29,398.8,398.8,1-Oct-19
Port Harcourt,1000015,Retail,356.38,309.85,0,1-Sep-19
Port Harcourt,1000016,Retail,292.52,55.65,28.38,1-Aug-19
Port Harcourt,1000016,Retail,328.57,25.07,0,1-Jul-19
Port Harcourt,1000016,Retail,340.93,110.85,49.29,1-Oct-19
Port Harcourt,1000016,Retail,361.53,169.23,0,1-Dec-19
Port Harcourt,1000016,Retail,364.62,29.4,0,1-Nov-19
Port Harcourt,1000016,Retail,256.47,82.23,0,1-Sep-19
Kano,1000017,Retail,0,0,0,1-Oct-19
Kano,1000017,Retail,0,0,0,1-Nov-19
Kano,1000017,Retail,0,0,0,1-Dec-19
Kano,1000017,Retail,231.75,178.94,21.5,1-Aug-19
Kano,1000017,Retail,234.84,45.32,25.49,1-Jul-19
Kano,1000017,Retail,0,0,0,1-Sep-19
Onitsha,1000018,Retail,0,0,0,1-Jul-19
Onitsha,1000018,Retail,0,0,0,1-Aug-19
Onitsha,1000018,Retail,0,0,0,1-Oct-19
Onitsha,1000018,Retail,0,0,0,1-Nov-19
Onitsha,1000018,Retail,0,0,0,1-Dec-19
Onitsha,1000018,Retail,0,0,0,1-Sep-19
Abuja,1000019,Retail,0,0,0,1-Jul-19
Abuja,1000019,Retail,0,0,0,1-Aug-19
Abuja,1000019,Retail,0,0,0,1-Oct-19
Abuja,1000019,Retail,0,0,0,1-Nov-19
Abuja,1000019,Retail,0,0,0,1-Dec-19
Abuja,1000019,Retail,0,0,0,1-Sep-19
Abuja,1000020,Retail,292.52,26.16,0,1-Aug-19
Abuja,1000020,Retail,328.57,47.38,47.38,1-Jul-19
Abuja,1000020,Retail,340.93,84.39,84.39,1-Oct-19
Abuja,1000020,Retail,361.53,12.47,8.07,1-Dec-19
Abuja,1000020,Retail,364.62,60.8,60.8,1-Nov-19
Abuja,1000020,Retail,256.47,13.73,13.73,1-Sep-19
Port Harcourt,1000021,Retail,207.03,102.99,102.99,1-Aug-19
Port Harcourt,1000021,Retail,218.36,102.93,102.93,1-Jul-19
Port Harcourt,1000021,Retail,262.65,115.33,0,1-Oct-19
Port Harcourt,1000021,Retail,359.47,129.27,41.23,1-Dec-19
Port Harcourt,1000021,Retail,362.56,28.73,28.73,1-Nov-19
Port Harcourt,1000021,Retail,202.91,27.3,0,1-Sep-19
Port Harcourt,1000022,Retail,231.75,60.9,14.09,1-Aug-19
Port Harcourt,1000022,Retail,234.84,224.04,25.03,1-Jul-19
Port Harcourt,1000022,Retail,296.64,52.87,0,1-Oct-19
Port Harcourt,1000022,Retail,361.53,129.3,86.23,1-Dec-19
Port Harcourt,1000022,Retail,363.59,296.5,296.5,1-Nov-19
Port Harcourt,1000022,Retail,228.66,8.5,8.5,1-Sep-19
Onitsha,1000023,Retail,220.42,13.87,13.87,1-Aug-19
Onitsha,1000023,Retail,226.6,75.44,75.44,1-Jul-19
Onitsha,1000023,Retail,282.22,138.14,138.14,1-Oct-19
Onitsha,1000023,Retail,360.5,29.24,29.24,1-Dec-19
Onitsha,1000023,Retail,363.59,343.93,300.99,1-Nov-19
